"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Illinois","17","2014","2014",343,12880580,2.7,2.6
,"Illinois","17","2015","2015",351,12859995,2.7,2.7
,"Illinois","17","2016","2016",479,12801539,3.7,3.7
,"Illinois","17","2017","2017",623,12802023,4.9,4.8
,"Illinois","17","2018","2018",539,12741080,4.2,4.2
,"Illinois","17","2019","2019",545,12671821,4.3,4.2
,"Illinois","17","2020","2020",696,12587530,5.5,5.4
,"Indiana","18","1999","1999",21,6044969,0.3,0.3
,"Indiana","18","2000","2000",18,6080485,Unreliable,Unreliable
,"Indiana","18","2001","2001",41,6127760,0.7,0.7
,"Indiana","18","2002","2002",42,6155967,0.7,0.7
,"Indiana","18","2003","2003",79,6196638,1.3,1.3
,"Indiana","18","2004","2004",80,6233007,1.3,1.3
,"Indiana","18","2005","2005",102,6278616,1.6,1.6
,"Indiana","18","2006","2006",94,6332669,1.5,1.5
,"Indiana","18","2007","2007",150,6379599,2.4,2.4
,"Indiana","18","2008","2008",181,6424806,2.8,2.9
,"Indiana","18","2009","2009",215,6459325,3.3,3.4
,"Indiana","18","2010","2010",189,6483802,2.9,3.0
,"Indiana","18","2011","2011",220,6516922,3.4,3.4
,"Indiana","18","2012","2012",175,6537334,2.7,2.7
,"Indiana","18","2013","2013",141,6570902,2.1,2.2
,"Indiana","18","2014","2014",182,6596855,2.8,2.8
,"Indiana","18","2015","2015",175,6619680,2.6,2.7
,"Indiana","18","2016","2016",262,6633053,3.9,4.0
,"Indiana","18","2017","2017",425,6666818,6.4,6.6
,"Indiana","18","2018","2018",370,6691878,5.5,5.6
,"Indiana","18","2019","2019",400,6732219,5.9,6.2
,"Indiana","18","2020","2020",461,6754953,6.8,7.2
,"Iowa","19","2001","2001",17,2931997,Unreliable,Unreliable
,"Iowa","19","2002","2002",23,2934234,0.8,0.8
,"Iowa","19","2003","2003",21,2941999,0.7,0.8
,"Iowa","19","2004","2004",45,2953635,1.5,1.6
,"Iowa","19","2005","2005",53,2964454,1.8,1.9
,"Iowa","19","2006","2006",69,2982644,2.3,2.4
,"Iowa","19","2007","2007",85,2999212,2.8,2.9
,"Iowa","19","2008","2008",98,3016734,3.2,3.4
,"Iowa","19","2009","2009",104,3032870,3.4,3.7
,"Iowa","19","2010","2010",105,3046355,3.4,3.6
,"Iowa","19","2011","2011",118,3062309,3.9,4.1
,"Iowa","19","2012","2012",132,3074186,4.3,4.5
